16:37:29,636		-29090 
16:37:36,211		-29111 
16:37:42,460		-29099 
16:37:49,037		-29082 
16:37:55,271		-29081 
16:38:01,513		-29098 
16:38:05,486		-29098 
16:38:10,509		-29090 
16:38:15,528		-29090 
16:38:20,567		-29088 
16:38:25,563		-29086 
16:38:30,609		-29098 
16:38:35,619		-29090 
16:38:40,634		-29078 
16:38:45,666		-29081 
16:38:50,704		-29097 
16:38:55,687		-29080 
16:39:00,698		-29092 
16:39:05,733		-29089 
16:39:10,766		-29087 
16:39:15,800		-29097 
16:39:20,979		-29086 
16:39:27,272		-29081 
16:39:33,931		-29075 
16:39:40,182		-29086 
16:39:46,439		-29077 
16:39:53,032		-29089 
16:39:59,269		-29077 
16:40:05,540		-29085 
16:40:12,126		-29080 
16:40:18,400		-29078 
16:40:24,612		-29069 
16:40:30,905		-29076 
16:40:37,159		-29085 
16:40:43,429		-29085 
16:40:49,708		-29092 
16:40:55,975		-29076 
16:40:59,943		-29076 
16:41:04,953		-29072 
16:41:09,966		-29080 
16:41:15,004		-29072 
16:41:20,047		-29072 
16:41:25,054		-29066 
16:41:30,074		-29072 
16:41:35,149		-29092 
16:41:40,165		-29077 
16:41:45,222		-29066 
16:41:50,215		-29066 
16:41:55,271		-29086 
16:42:00,301		-29066 
16:42:05,318		-29072 
16:42:10,317		-29064 
16:42:15,335		-29079 
16:42:21,582		-29084 
16:42:28,186		-29022 
16:42:34,467		-29065 
16:42:40,765		-29060 
16:42:47,346		-29078 
16:42:53,588		-28996 
16:42:59,838		-29075 
16:43:06,432		-29055 
16:43:12,661		-29073 
16:43:18,919		-29067 
16:43:25,516		-29061 
16:43:31,771		-29034 
16:43:38,056		-29061 
16:43:44,344		-29070 
16:43:50,608		-29046 
16:43:54,574		-29046 
16:43:59,607		-29032 
16:44:04,617		-29061 
16:44:09,645		-29063 
16:44:14,670		-29061 
16:44:19,704		-29057 
16:44:24,744		-29057 
16:44:29,780		-29027 
16:44:34,826		-29055 
16:44:39,877		-29084 
16:44:44,884		-29037 
16:44:49,922		-29029 
16:44:54,915		-29017 
16:44:59,933		-29074 
16:45:04,924		-29053 
16:45:09,925		-29063 
16:45:16,171		-29021 
16:45:22,742		-29059 
16:45:28,997		-29076 
16:45:35,278		-29053 
16:45:41,832		-29037 
16:45:48,081		-29070 
16:45:54,326		-29073 
16:46:00,923		-29025 
16:46:07,158		-29034 
16:46:13,415		-29058 
16:46:19,991		-29068 
16:46:26,241		-29068 
16:46:32,479		-29054 
16:46:38,729		-29045 
16:46:44,999		-29039 
16:46:48,972		-29039 
16:46:53,994		-29064 
16:46:59,003		-29061 
16:47:04,022		-29048 
16:47:09,027		-29048 
16:47:14,087		-29068 
16:47:19,081		-29049 
16:47:24,095		-29032 
16:47:29,116		-29030 
16:47:34,173		-29068 
16:47:39,196		-29036 
16:47:44,214		-29063 
16:47:49,216		-29075 
16:47:54,225		-28964 
16:47:59,228		-29046 
16:48:04,235		-29056 
16:48:10,481		-29051 
16:48:17,098		-29052 
16:48:23,356		-29070 
16:48:29,612		-29042 
16:48:36,194		-29069 
16:48:42,475		-29031 
16:48:48,730		-28984 
16:48:55,326		-29023 
16:49:01,604		-29070 
16:49:07,888		-29005 
16:49:14,462		-29022 
16:49:20,690		-29008 
16:49:26,950		-29055 
16:49:33,199		-29061 
16:49:39,431		-28933 
16:49:43,396		-28933 
16:49:48,450		-29030 
16:49:53,461		-29027 
16:49:58,482		-29074 
16:50:03,485		-28899 
16:50:08,489		-29047 
16:50:13,500		-28894 
16:50:18,528		-29066 
16:50:23,541		-29014 
16:50:28,557		-29037 
16:50:33,581		-28970 
16:50:38,623		-29030 
16:50:43,650		-29036 
16:50:48,668		-28970 
16:50:53,686		-29022 
16:50:58,720		-28895 
16:51:04,978		-29003 
16:51:11,550		-29008 
16:51:17,811		-29025 
16:51:24,076		-29029 
16:51:30,669		-28915 
16:51:36,933		-28899 
16:51:43,181		-29091 
16:51:49,784		-28901 
16:51:56,045		-28901 
16:52:02,344		-28865 
16:52:08,932		-29063 
16:52:15,196		-29018 
16:52:21,489		-29020 
16:52:27,762		-28877 
16:52:34,008		-29027 
16:52:37,985		-29027 
16:52:42,997		-29072 
16:52:48,018		-28905 
16:52:53,069		-28963 
16:52:58,096		-29082 
16:53:03,088		-29080 
16:53:08,120		-28901 
16:53:13,129		-29027 
16:53:18,179		-28893 
16:53:23,171		-28943 
16:53:28,192		-28896 
16:53:33,203		-29006 
16:53:38,235		-28915 
16:53:43,242		-28937 
16:53:48,248		-29062 
16:53:53,277		-29032 
16:53:59,549		-28917 
16:54:06,113		-28874 
16:54:12,368		-29036 
16:54:18,631		-29061 
16:54:25,318		-28908 
16:54:31,555		-28909 
16:54:37,856		-28881 
16:54:44,444		-28875 
16:54:50,717		-28907 
16:54:56,964		-28966 
16:55:03,233		-28860 
16:55:09,475		-28857 
16:55:15,753		-29031 
16:55:21,998		-29003 
16:55:28,251		-28993 
16:55:32,197		-28993 
16:55:37,196		-28878 
16:55:42,231		-28880 
16:55:47,242		-29066 
16:55:52,286		-28905 
16:55:57,333		-28864 
16:56:02,335		-28930 
16:56:07,362		-29059 
16:56:12,367		-28871 
16:56:17,397		-28872 
16:56:22,419		-28878 
16:56:27,453		-28897 
16:56:32,501		-28941 
16:56:37,508		-28870 
16:56:42,536		-28892 
16:56:47,561		-28882 
16:56:53,797		-29051 
16:57:00,360		-28861 
16:57:06,591		-28899 
16:57:12,861		-28861 
16:57:19,429		-28982 
16:57:25,657		-28896 
16:57:31,894		-28917 
16:57:38,505		-28875 
16:57:44,741		-28897 
16:57:50,971		-28873 
16:57:57,552		-28879 
16:58:03,806		-28902 
16:58:10,110		-28856 
16:58:16,376		-28868 
16:58:22,634		-28858 
16:58:26,599		-28858 
16:58:31,605		-28908 
16:58:36,656		-28875 
16:58:41,673		-28880 
16:58:46,709		-28870 
16:58:51,731		-29045 
16:58:56,755		-28877 
16:59:01,778		-28864 
16:59:06,816		-28852 
16:59:11,826		-29057 
16:59:16,854		-28890 
16:59:21,862		-28872 
16:59:26,879		-28850 
16:59:31,888		-28888 
16:59:36,913		-28954 
16:59:41,932		-28852 
16:59:48,186		-28861 
16:59:54,767		-28861 
17:00:01,027		-29082 
17:00:07,289		-28868 
17:00:13,906		-28910 
17:00:20,167		-28878 
17:00:26,446		-28894 
17:00:33,042		-28889 
17:00:39,299		-28895 
17:00:45,523		-28882 
17:00:52,095		-28889 
17:00:58,387		-28906 
17:01:04,648		-28899 
17:01:11,204		-28883 
17:01:17,438		-28873 
17:01:21,380		-28873 
17:01:26,391		-28924 
17:01:31,386		-28873 
17:01:36,443		-28883 
17:01:41,464		-28884 
17:01:46,471		-28889 
17:01:51,511		-28874 
17:01:56,518		-28906 
17:02:01,543		-28891 
17:02:06,550		-28856 
17:02:11,562		-28846 
17:02:16,591		-28917 
17:02:21,612		-28894 
17:02:26,645		-28891 
17:02:31,665		-28865 
17:02:36,686		-28866 
17:02:42,963		-28927 
17:02:49,526		-28870 
17:02:55,786		-28848 
17:03:02,038		-28883 
17:03:08,630		-29080 
17:03:14,919		-28853 
17:03:21,162		-28856 
17:03:27,803		-28859 
17:03:34,048		-28874 
17:03:40,330		-28879 
17:03:46,919		-28861 
17:03:53,153		-28867 
17:03:59,388		-28867 
17:04:05,979		-28898 
17:04:12,253		-28843 
17:04:16,219		-28843 
17:04:21,263		-28878 
17:04:26,286		-28847 
17:04:31,332		-28961 
17:04:36,386		-28885 
17:04:41,390		-28875 
17:04:46,420		-28870 
17:04:51,470		-28879 
17:04:56,494		-28870 
17:05:01,528		-28870 
17:05:06,553		-28881 
17:05:11,555		-28845 
17:05:16,558		-28864 
17:05:21,590		-28860 
17:05:26,607		-28883 
17:05:31,646		-28861 
17:05:37,900		-28866 
17:05:44,488		-28857 
17:05:51,029		-28917 
17:05:57,830		-28869 
17:06:04,821		-28855 
17:06:11,612		-28846 
17:06:24,326		-29081 
17:06:31,434		-28869 
17:06:38,548		-28858 
17:06:45,101		-28844 
17:06:51,736		-28882 
17:06:58,328		-28892 
17:07:04,906		-28842 
17:07:11,617		-28856 
17:07:18,551		-28869 
17:07:22,774		-28869 
17:07:28,127		-29067 
17:07:33,544		-28842 
17:07:38,882		-28884 
17:07:44,179		-28854 
17:07:49,485		-28870 
17:07:54,815		-28867 
17:08:00,138		-28869 
17:08:05,408		-28859 
17:08:10,732		-28871 
17:08:16,040		-28879 
17:08:21,352		-28873 
17:08:26,635		-28872 
17:08:31,951		-28850 
17:08:37,231		-28873 
17:08:42,539		-28855 
17:08:49,114		-28857 
17:08:55,688		-28863 
17:09:02,442		-28866 
17:09:09,194		-28858 
17:09:15,696		-28887 
17:09:24,332		-28879 
17:09:30,882		-28843 
17:09:37,775		-28848 
17:09:44,389		-28917 
17:09:51,145		-28891 
17:09:57,765		-28886 
17:10:04,359		-28862 
17:10:10,922		-28863 
17:10:17,572		-28892 
17:10:24,150		-28860 
17:10:28,361		-28860 
17:10:33,639		-28850 
17:10:38,916		-28877 
17:10:44,271		-29077 
17:10:49,682		-28865 
17:10:54,971		-28856 
17:11:00,268		-28867 
17:11:05,603		-28875 
17:11:10,937		-28914 
17:11:16,146		-28862 
17:11:21,636		-28879 
17:11:26,634		-28874 
17:11:31,634		-28948 
17:11:36,938		-28844 
17:11:42,278		-28874 
17:11:47,649		-28868 
17:11:54,297		-28987 
17:12:00,924		-28898 
17:12:07,571		-28876 
17:12:14,193		-28863 
17:12:20,885		-28884 
17:12:27,587		-28883 
17:12:34,275		-28876 
17:12:40,580		-28881 
17:12:47,219		-28857 
17:12:54,069		-28871 
17:13:00,300		-28869 
17:13:06,909		-28877 
17:13:13,518		-28863 
17:13:19,774		-28870 
17:13:26,457		-28861 
17:13:30,701		-28861 
17:13:36,061		-28923 
17:13:41,373		-28864 
17:13:46,698		-28862 
17:13:52,031		-28855 
17:13:57,306		-29073 
17:14:02,626		-28871 
17:14:07,923		-28864 
17:14:13,274		-28861 
17:14:18,585		-28881 
17:14:23,906		-28904 
17:14:29,225		-28854 
17:14:34,623		-28865 
17:14:39,935		-28878 
17:14:45,264		-29057 
17:14:50,581		-28849 
17:14:57,260		-28877 
17:15:03,971		-28859 
17:15:10,615		-28876 
17:15:17,288		-28871 
17:15:23,934		-28865 
17:15:30,531		-28867 
17:15:37,185		-28878 
17:15:43,815		-28936 
17:15:50,481		-28882 
17:15:57,125		-28874 
17:16:03,433		-28874 
17:16:10,110		-28888 
17:16:16,695		-28884 
17:16:23,339		-28864 
17:16:29,968		-28870 
17:16:34,257		-28870 
17:16:39,601		-28881 
17:16:44,900		-28870 
17:16:50,265		-28883 
17:16:55,557		-28882 
17:17:00,890		-28858 
17:17:06,186		-28861 
17:17:11,540		-29005 
17:17:16,873		-28890 
17:17:22,216		-28888 
17:17:27,557		-28878 
17:17:32,904		-28877 
17:17:38,265		-28909 
17:17:43,592		-28871 
17:17:48,930		-28868 
17:17:54,228		-28909 
17:18:00,901		-29041 
17:18:07,585		-28862 
17:18:14,216		-28855 
17:18:20,891		-28864 
17:18:27,638		-28870 
17:18:34,341		-28893 
17:18:41,015		-28858 
17:18:47,328		-28879 
17:18:53,984		-28882 
17:19:00,614		-28961 
17:19:07,284		-28854 
17:19:13,944		-28883 
17:19:20,588		-28869 
17:19:27,128		-28971 
17:19:33,788		-28902 
17:19:38,064		-28902 
17:19:43,422		-28884 
17:19:48,750		-28877 
17:19:54,047		-28898 
17:19:59,420		-28898 
17:20:04,787		-28889 
17:20:10,202		-28898 
17:20:15,520		-28872 
17:20:20,908		-28884 
17:20:26,172		-28898 
17:20:31,553		-28893 
17:20:36,891		-28886 
17:20:42,214		-28883 
17:20:47,558		-28873 
17:20:52,953		-28915 
17:20:58,310		-28881 
17:21:05,011		-28885 
17:21:11,661		-28869 
17:21:18,377		-29061 
17:21:25,017		-28872 
17:21:31,731		-28876 
17:21:38,363		-28877 
17:21:45,026		-28910 
17:21:51,690		-28923 
17:21:58,330		-28857 
17:22:05,013		-28877 
17:22:11,297		-28909 
17:22:18,025		-29084 
17:22:24,687		-28865 
17:22:31,028		-28891 
17:22:37,680		-28881 
17:22:41,935		-28881 
17:22:47,243		-28905 
17:22:52,620		-28897 
17:22:57,955		-28887 
17:23:03,305		-28889 
17:23:08,623		-28890 
17:23:13,929		-28993 
17:23:19,289		-28936 
17:23:24,620		-28887 
17:23:29,958		-28896 
17:23:35,315		-28912 
17:23:40,632		-28938 
17:23:45,956		-28890 
17:23:51,252		-28885 
17:23:56,561		-28887 
17:24:01,921		-28893 
17:24:08,586		-28922 
17:24:14,910		-28892 
17:24:21,598		-28870 
17:24:28,231		-28867 
17:24:34,591		-29016 
17:24:41,268		-28893 
17:24:47,914		-28898 
17:24:54,556		-28880 
17:25:01,276		-28884 
17:25:07,943		-28919 
17:25:14,347		-28881 
17:25:20,965		-28875 
17:25:27,655		-28922 
17:25:33,995		-29079 
17:25:40,662		-28874 
