08:34:41,035 2024/03/28	CALW INIT NONE	
10:09:03,239 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED BUSY 0.000 TARGET 1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
10:15:57,007 2024/03/28	ASEL INIT NONE	
10:15:57,009 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED BUSY 0.000 TARGET 1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
10:31:15,793 2024/03/28	ASEL INIT NONE	
10:31:15,795 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED BUSY 0.000 TARGET 1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
10:31:21,637 2024/03/28	ASEL INIT NONE	
10:31:21,642 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED BUSY 0.000 TARGET 1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
13:25:27,841 2024/03/28	ASEL INIT NONE	
13:25:27,844 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED BUSY 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
14:35:02,203 2024/03/28	WPSEL INIT NONE	
14:35:02,204 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
14:38:25,934 2024/03/28	WPSEL INIT NONE	
14:38:25,937 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
15:04:28,625 2024/03/28	WPSEL INIT NONE	
15:04:28,627 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
15:26:22,233 2024/03/28	ASEL INIT NONE	
15:26:22,237 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED BUSY 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
