06:39:02,389 2024/03/30	WPROT SIMULATED BUSY 0.000 OFF 1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
06:39:35,328 2024/03/30	WPROT INIT NONE	
06:39:35,329 2024/03/30	WPROT SIMULATED BUSY 0.000 OFF 1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
06:39:44,826 2024/03/30	WPROT INIT NONE	
06:39:44,827 2024/03/30	WPROT SIMULATED BUSY 0.000 OFF 1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
07:04:44,616 2024/03/30	WPROT INIT NONE	
07:04:44,617 2024/03/30	WPROT SIMULATED BUSY 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
07:57:34,115 2024/03/30	CALW INIT NONE	
07:57:34,116 2024/03/30	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED BUSY 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
08:14:01,014 2024/03/30	WPROT INIT NONE	
08:14:01,015 2024/03/30	WPROT SIMULATED BUSY 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
08:19:33,480 2024/03/30	WPSEL INIT NONE	
08:19:33,481 2024/03/30	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
08:20:00,634 2024/03/30	WPSEL INIT NONE	
08:20:00,635 2024/03/30	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 OFF 1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
08:37:09,094 2024/03/30	WPSEL INIT NONE, CALW INIT NONE	
08:37:09,095 2024/03/30	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 NONE -1, CALW SIMULATED BUSY 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
