10:28:12.599 2023/08/09	WPSEL INIT NONE, GMIR INIT NONE, CALW INIT NONE	
16:12:01.986 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:12:03.296 2023/08/09	GFOC GOTO 0.000000	
16:12:03.299 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:12:04.603 2023/08/09	GFOC GOTO 0.000000	
16:12:04.606 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:12:05.962 2023/08/09	GFOC GOTO 0.000000	
16:12:05.971 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:12:07.274 2023/08/09	GFOC GOTO 0.000000	
16:12:07.278 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:12:08.565 2023/08/09	GFOC GOTO 0.000000	
16:12:08.573 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:12:09.881 2023/08/09	GFOC GOTO 0.000000	
16:12:09.888 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:12:11.088 2023/08/09	GFOC GOTO 0.000000	
16:12:11.098 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:12:12.315 2023/08/09	GFOC GOTO 0.000000	
16:12:12.322 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:12:13.627 2023/08/09	GFOC GOTO 0.000000	
16:12:13.635 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:12:14.940 2023/08/09	GFOC GOTO 0.000000	
