11:13:57.220 2023/08/18	WPROT SIMULATED BUSY 168.166 NONE -1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 10.000 TARGET 1
	
11:14:29.148 2023/08/18	CALW GOTO POLARIZER	
11:14:29.613 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED BUSY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 2.800 TARGET 1
	
11:14:33.456 2023/08/18	GFOC GOTO 6.600000	
11:14:33.766 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 2.800 TARGET 1
	
11:14:54.068 2023/08/18	WPSEL GOTO L/4	
11:14:54.105 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 160.000 L/2 3, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 6.600 TARGET 1
	
11:15:07.395 2023/08/18	GFOC GOTO 7.750000	
11:15:07.820 2023/08/18	WPROT SIMULATED BUSY 144.302 NONE -1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 6.600 TARGET 1
	
11:19:28.283 2023/08/18	GFOC GOTO 10.000000	
11:19:29.719 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 7.750 TARGET 1
	
11:19:32.059 2023/08/18	GFOC GOTO 10.000000	
11:19:33.176 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 10.000 TARGET 1
	
11:20:06.535 2023/08/18	GFOC GOTO 7.750000	
11:20:07.431 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 10.000 TARGET 1
	
11:21:36.051 2023/08/18	CALW GOTO OFF	
11:21:36.086 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED BUSY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 7.750 TARGET 1
	
11:22:12.481 2023/08/18	GFOC GOTO 3.300000	
11:22:14.863 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 7.750 TARGET 1
	
11:22:30.750 2023/08/18	CALW GOTO POLARIZER	
11:22:30.990 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED BUSY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 3.300 TARGET 1
	
11:25:07.549 2023/08/18	GFOC GOTO 7.750000	
11:25:08.871 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 3.300 TARGET 1
	
11:25:41.063 2023/08/18	CALW GOTO OFF	
11:25:41.345 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED BUSY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 7.750 TARGET 1
	
11:27:30.398 2023/08/18	GFOC GOTO 3.300000	
11:27:32.217 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 7.750 TARGET 1
	
11:27:57.970 2023/08/18	CALW GOTO DEPOLARIZER	
11:27:58.297 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED BUSY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 3.300 TARGET 1
	
11:28:45.188 2023/08/18	GFOC GOTO 10.000000	
11:28:46.144 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 3.300 TARGET 1
	
11:29:48.954 2023/08/18	CALW GOTO OFF	
11:29:49.658 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED BUSY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 10.000 TARGET 1
	
11:30:00.908 2023/08/18	GFOC GOTO 3.300000	
11:30:03.089 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 10.000 TARGET 1
	
11:30:48.468 2023/08/18	WPSEL GOTO L/2	
