09:49:29.144 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED TIMEOUT 120.000 TARGET 1, GFOC SIMULATED BUSY 0.600 TARGET 1
	
09:49:41.576 2023/08/07	GFOC GOTO 0.000000	
09:49:41.581 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED TIMEOUT 120.000 TARGET 1, GFOC SIMULATED BUSY 0.700 TARGET 1
	
09:49:50.911 2023/08/07	GFOC GOTO 1.500000	
09:49:50.918 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED TIMEOUT 120.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
09:50:04.013 2023/08/07	GFOC GOTO 1.500000	
09:50:04.020 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED TIMEOUT 120.000 TARGET 1, GFOC SIMULATED BUSY 1.500 TARGET 1
	
09:50:09.337 2023/08/07	GFOC GOTO 1.500000	
09:50:09.346 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED TIMEOUT 120.000 TARGET 1, GFOC SIMULATED BUSY 1.500 TARGET 1
	
09:50:24.833 2023/08/07	GFOC GOTO 2.500000	
09:50:24.841 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED TIMEOUT 120.000 TARGET 1, GFOC SIMULATED BUSY 1.500 TARGET 1
	
09:50:30.668 2023/08/07	GFOC GOTO 1.500000	
09:50:30.674 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED TIMEOUT 120.000 TARGET 1, GFOC SIMULATED BUSY 2.500 TARGET 1
	
09:50:36.354 2023/08/07	GFOC GOTO 2.500000	
09:50:36.363 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED TIMEOUT 120.000 TARGET 1, GFOC SIMULATED BUSY 1.500 TARGET 1
	
09:50:44.117 2023/08/07	GFOC GOTO 0.700000	
09:50:44.120 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED TIMEOUT 120.000 TARGET 1, GFOC SIMULATED BUSY 2.500 TARGET 1
	
09:50:55.914 2023/08/07	GFOC GOTO 1.200000	
09:50:55.920 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED TIMEOUT 120.000 TARGET 1, GFOC SIMULATED BUSY 0.700 TARGET 1
	
09:51:10.668 2023/08/07	GFOC GOTO 0.500000	
09:51:10.675 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED TIMEOUT 120.000 TARGET 1, GFOC SIMULATED BUSY 1.200 TARGET 1
	
09:51:34.357 2023/08/07	GFOC GOTO 0.510000	
09:51:34.362 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED TIMEOUT 120.000 TARGET 1, GFOC SIMULATED BUSY 0.500 TARGET 1
	
09:51:39.442 2023/08/07	GFOC GOTO 0.520000	
09:51:39.457 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED TIMEOUT 120.000 TARGET 1, GFOC SIMULATED BUSY 0.510 TARGET 1
	
09:51:42.909 2023/08/07	GFOC GOTO 0.530000	
09:51:42.918 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED TIMEOUT 120.000 TARGET 1, GFOC SIMULATED BUSY 0.520 TARGET 1
	
09:51:46.107 2023/08/07	GFOC GOTO 0.540000	
09:51:46.114 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED TIMEOUT 120.000 TARGET 1, GFOC SIMULATED BUSY 0.530 TARGET 1
	
09:51:48.716 2023/08/07	GFOC GOTO 0.550000	
09:51:48.724 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED TIMEOUT 120.000 TARGET 1, GFOC SIMULATED BUSY 0.540 TARGET 1
	
09:51:58.385 2023/08/07	GMIR GOTO 125.000000	
09:51:58.394 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 120.000 TARGET 1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:51:59.733 2023/08/07	GMIR GOTO 130.000000	
09:51:59.741 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 125.000 TARGET 1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:52:01.164 2023/08/07	GMIR GOTO 135.000000	
09:52:01.173 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 130.000 TARGET 1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:52:02.064 2023/08/07	GMIR STOP NONE	
09:52:02.067 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 133.500 NONE -1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:52:07.730 2023/08/07	GMIR STOP NONE	
09:52:07.737 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 133.749 NONE -1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:52:07.802 2023/08/07	ActiveGoto GMIR: TIMEOUT	
09:52:12.055 2023/08/07	GMIR STOP NONE	
09:52:12.066 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 133.749 NONE -1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:52:12.152 2023/08/07	ActiveGoto GMIR: TIMEOUT	
09:52:18.183 2023/08/07	GMIR GOTO 143.749000	
09:52:18.197 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 133.749 NONE -1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:52:19.857 2023/08/07	GMIR GOTO 153.749000	
09:52:19.866 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 143.749 TARGET 1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:52:21.384 2023/08/07	GMIR GOTO 163.749000	
09:52:21.393 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 153.749 TARGET 1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:52:22.966 2023/08/07	GMIR GOTO 173.749000	
09:52:22.979 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 163.749 TARGET 1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:52:23.032 2023/08/07	GMIR STOP NONE	
09:52:23.035 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 163.749 NONE -1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:52:26.136 2023/08/07	GMIR STOP NONE	
09:52:26.139 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 164.345 NONE -1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:52:26.207 2023/08/07	ActiveGoto GMIR: TIMEOUT	
09:52:56.980 2023/08/07	GMIR STOP NONE	
09:52:56.988 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 164.345 NONE -1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:52:57.043 2023/08/07	ActiveGoto GMIR: TIMEOUT	
09:53:00.809 2023/08/07	GMIR GOTO 174.345000	
09:53:00.817 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 164.345 NONE -1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:53:02.281 2023/08/07	GMIR GOTO 184.345000	
09:53:02.291 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 174.345 TARGET 1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:53:03.893 2023/08/07	GMIR GOTO 194.345000	
